garrafa,lote,url,conteudo_qr
001,001,https://seu-dominio.com/?lote=001&garrafa=001&total=250,https://seu-dominio.com/?lote=001&garrafa=001&total=250
002,001,https://seu-dominio.com/?lote=001&garrafa=002&total=250,https://seu-dominio.com/?lote=001&garrafa=002&total=250
003,001,https://seu-dominio.com/?lote=001&garrafa=003&total=250,https://seu-dominio.com/?lote=001&garrafa=003&total=250
004,001,https://seu-dominio.com/?lote=001&garrafa=004&total=250,https://seu-dominio.com/?lote=001&garrafa=004&total=250
005,001,https://seu-dominio.com/?lote=001&garrafa=005&total=250,https://seu-dominio.com/?lote=001&garrafa=005&total=250
006,001,https://seu-dominio.com/?lote=001&garrafa=006&total=250,https://seu-dominio.com/?lote=001&garrafa=006&total=250
007,001,https://seu-dominio.com/?lote=001&garrafa=007&total=250,https://seu-dominio.com/?lote=001&garrafa=007&total=250
008,001,https://seu-dominio.com/?lote=001&garrafa=008&total=250,https://seu-dominio.com/?lote=001&garrafa=008&total=250
009,001,https://seu-dominio.com/?lote=001&garrafa=009&total=250,https://seu-dominio.com/?lote=001&garrafa=009&total=250
010,001,https://seu-dominio.com/?lote=001&garrafa=010&total=250,https://seu-dominio.com/?lote=001&garrafa=010&total=250
011,001,https://seu-dominio.com/?lote=001&garrafa=011&total=250,https://seu-dominio.com/?lote=001&garrafa=011&total=250
012,001,https://seu-dominio.com/?lote=001&garrafa=012&total=250,https://seu-dominio.com/?lote=001&garrafa=012&total=250
013,001,https://seu-dominio.com/?lote=001&garrafa=013&total=250,https://seu-dominio.com/?lote=001&garrafa=013&total=250
014,001,https://seu-dominio.com/?lote=001&garrafa=014&total=250,https://seu-dominio.com/?lote=001&garrafa=014&total=250
015,001,https://seu-dominio.com/?lote=001&garrafa=015&total=250,https://seu-dominio.com/?lote=001&garrafa=015&total=250
016,001,https://seu-dominio.com/?lote=001&garrafa=016&total=250,https://seu-dominio.com/?lote=001&garrafa=016&total=250
017,001,https://seu-dominio.com/?lote=001&garrafa=017&total=250,https://seu-dominio.com/?lote=001&garrafa=017&total=250
018,001,https://seu-dominio.com/?lote=001&garrafa=018&total=250,https://seu-dominio.com/?lote=001&garrafa=018&total=250
019,001,https://seu-dominio.com/?lote=001&garrafa=019&total=250,https://seu-dominio.com/?lote=001&garrafa=019&total=250
020,001,https://seu-dominio.com/?lote=001&garrafa=020&total=250,https://seu-dominio.com/?lote=001&garrafa=020&total=250
021,001,https://seu-dominio.com/?lote=001&garrafa=021&total=250,https://seu-dominio.com/?lote=001&garrafa=021&total=250
022,001,https://seu-dominio.com/?lote=001&garrafa=022&total=250,https://seu-dominio.com/?lote=001&garrafa=022&total=250
023,001,https://seu-dominio.com/?lote=001&garrafa=023&total=250,https://seu-dominio.com/?lote=001&garrafa=023&total=250
024,001,https://seu-dominio.com/?lote=001&garrafa=024&total=250,https://seu-dominio.com/?lote=001&garrafa=024&total=250
025,001,https://seu-dominio.com/?lote=001&garrafa=025&total=250,https://seu-dominio.com/?lote=001&garrafa=025&total=250
026,001,https://seu-dominio.com/?lote=001&garrafa=026&total=250,https://seu-dominio.com/?lote=001&garrafa=026&total=250
027,001,https://seu-dominio.com/?lote=001&garrafa=027&total=250,https://seu-dominio.com/?lote=001&garrafa=027&total=250
028,001,https://seu-dominio.com/?lote=001&garrafa=028&total=250,https://seu-dominio.com/?lote=001&garrafa=028&total=250
